lith DT24/DTC GR M2R2 M2R3 M2R6 M2R9 M2RX ZDEN CNCF PE SP clay silica carbonate
11.00000 68.90200 79.11900 37.65200 39.31900 41.64500 43.22100 43.58500 2.50400 7.54900 1.16900 0.57095 16.00000 73.00000 11.00000
7.00000 71.59900 59.88800 21.56400 22.85800 24.13200 24.72500 24.97500 2.50500 11.76800 1.18000 0.62136 21.00000 63.00000 16.00000
11.00000 67.88600 74.11100 36.35000 37.11700 38.97600 39.70400 40.04800 2.51100 8.79700 1.63300 0.65242 16.00000 77.00000 7.00000
11.00000 69.53900 74.77800 30.47900 32.32500 34.25000 35.20000 35.58500 2.51900 9.75800 1.28500 0.61521 15.00000 75.00000 10.00000
11.00000 68.32900 72.21400 49.04700 53.79600 59.43500 62.18800 63.25700 2.52100 7.85900 1.52700 0.54172 15.00000 75.00000 10.00000
11.00000 65.88100 79.50600 54.56000 55.85400 60.13600 62.18700 63.03200 2.53500 7.65500 1.36600 0.55065 23.00000 69.00000 8.00000
11.00000 66.06400 77.38400 51.50900 52.62100 56.03500 58.11000 58.73600 2.53500 6.92500 1.40300 0.55615 16.00000 74.00000 10.00000
11.00000 73.87100 68.18800 34.68300 38.47000 42.48900 44.17500 45.20700 2.53700 9.77700 1.03300 0.64531 15.00000 70.00000 15.00000
11.00000 66.76300 75.32400 76.47700 75.72600 83.88500 86.23400 89.19600 2.54100 7.99700 1.27800 0.53605 16.00000 76.00000 8.00000
3.00000 67.94400 120.66500 38.19500 41.16100 44.64300 46.25100 47.01800 2.54700 9.79800 1.11000 0.66044 15.00000 74.00000 11.00000
11.00000 65.96500 75.35900 52.38100 53.05000 54.78400 56.19600 56.27100 2.56400 7.77600 1.41100 0.54072 15.00000 74.00000 11.00000
11.00000 64.41800 66.91300 61.66700 69.99900 81.29000 86.95900 89.38900 2.57000 7.85400 2.13700 0.53272 15.00000 76.00000 9.00000
7.00000 61.98700 90.52000 59.11600 61.28000 65.47300 69.30300 70.16800 2.58600 8.94200 1.68600 0.38714 9.00000 56.00000 35.00000
7.00000 66.62900 60.38200 70.93000 75.92200 82.02000 87.25100 92.13900 2.52100 9.30900 1.71600 0.12479 5.00000 93.00000 2.00000
7.00000 63.64100 34.73500 60.16000 62.73500 65.45000 67.63700 68.92000 2.54300 6.33900 1.70500 0.11447 10.00000 90.00000 0.00000
7.00000 63.15000 49.94900 50.26600 51.09100 52.10100 53.15500 53.73400 2.55200 8.85300 1.72200 0.54283 10.00000 86.00000 4.00000
8.00000 58.27100 114.65800 290.21400 278.96700 264.21100 258.96900 247.05400 2.72000 17.34200 3.68600 0.37770 44.00000 49.00000 7.00000
10.00000 62.17700 127.00800 63.07100 63.21100 65.97800 67.48500 68.31500 2.67600 12.79600 2.37600 0.88287 46.00000 48.00000 6.00000
7.00000 68.46600 135.99800 74.23900 73.33100 81.00800 84.67000 86.28100 2.57200 18.83000 1.92100 0.89342 29.00000 52.00000 19.00000
