lith DTC LnM GR GR_silica GR_clay M2R2 M2R3 M2R6 M2R9 M2RX F ZDEN ZDENm CNCF CNCFm CNCF_clay TM TP TN PE SP Silica clay carbonate
11.00000 66.76900 0.87826 76.02400 1.64250 0.50378 36.03500 36.25500 36.38100 37.68000 37.69700 0.95591 2.49600 0.04054 7.29300 0.06077 0.97997 1.04508 0.77578 6.00253 1.52700 0.56826 78.00000 15.00000 7.00000
11.00000 66.76300 0.88634 75.32400 1.64814 0.50035 76.47700 75.72600 83.88500 86.23400 89.19600 0.85740 2.54100 0.19257 7.99700 0.07900 1.12027 1.03226 0.77914 5.90618 1.27800 0.53605 76.00000 16.00000 8.00000
7.00000 66.71100 0.86812 76.84500 1.63586 0.50783 50.65100 50.56300 50.61900 50.63800 50.84200 0.99624 2.59500 0.37500 12.86300 0.20499 1.18531 1.01771 0.80314 5.68279 1.62700 0.18135 72.00000 26.00000 2.00000
3.00000 66.70700 0.41595 160.37200 0.86296 1.14739 66.62800 70.57800 85.00600 94.52700 98.29200 0.67786 2.68700 0.68581 24.98300 0.51881 1.18175 0.99338 0.86822 5.19681 2.02100 0.51965 37.13082 61.97643 0.89274
8.00000 66.68700 1.03378 64.50800 1.73285 0.45023 68.44900 68.59000 68.48900 68.47300 68.50200 0.99923 2.59200 0.36486 11.08200 0.15888 1.22874 1.01871 0.79454 5.73763 1.85600 0.14323 81.00000 14.00000 5.00000
7.00000 66.62900 1.10346 60.38200 1.76392 0.43246 70.93000 75.92200 82.02000 87.25100 92.13900 0.76982 2.52100 0.12500 9.30900 0.11297 1.01210 1.03898 0.78642 5.90285 1.71600 0.12479 93.00000 5.00000 2.00000
8.00000 66.57200 0.94728 70.27700 1.68825 0.47630 28.04100 29.27800 30.92400 31.65400 32.03700 0.87527 2.52500 0.13851 8.46900 0.09122 1.04843 1.03829 0.78287 5.91977 1.60900 0.07279 93.00000 4.00000 3.00000
4.00000 66.47900 0.43337 153.40100 0.93059 1.07193 142.65200 163.45700 158.21800 157.58700 160.28000 0.89002 2.63400 0.50676 26.97500 0.57039 0.93835 1.00903 0.88169 5.20812 3.11000 0.54585 31.00000 54.00000 15.00000
8.00000 66.34200 0.68765 96.47600 1.46953 0.61506 35.49400 35.27100 36.70600 37.33800 37.63500 0.94311 2.65900 0.59122 14.40400 0.24489 1.41386 1.00350 0.81378 5.54339 2.31900 0.47000 68.00000 16.00000 16.00000
3.00000 66.32900 0.42474 156.16500 0.90372 1.10124 131.86000 129.17300 134.86600 140.19800 142.18200 0.92740 2.65600 0.58108 26.64800 0.56192 1.01934 1.00439 0.88092 5.18802 3.02400 0.45317 34.00000 40.00000 26.00000
10.00000 66.17800 1.06129 62.35600 1.74914 0.44088 67.09300 61.80800 57.39200 55.63200 55.10300 1.21759 2.56700 0.28041 7.71700 0.07175 1.23202 1.02956 0.78238 5.87116 1.02000 0.26095 79.30000 17.80000 2.90000
8.00000 66.14900 0.76627 86.32600 1.55728 0.55706 36.09500 36.31900 36.95600 37.42800 37.78200 0.95535 2.66600 0.61486 9.68300 0.12265 1.63593 1.00318 0.79196 5.66380 2.03700 0.55210 74.00000 15.00000 11.00000
10.00000 66.10400 1.25628 52.61900 1.82046 0.40091 18.36700 18.09500 17.59900 17.41300 17.33500 1.05953 2.52000 0.12162 8.20100 0.08428 1.03805 1.04336 0.78524 5.93576 1.24600 0.43858 62.00000 17.00000 21.00000
3.00000 66.08800 0.45838 144.17800 1.02054 0.97967 95.01300 92.13000 96.87300 100.18700 101.28000 0.93812 2.71600 0.78378 28.73300 0.61591 1.18279 0.99081 0.89532 5.04487 3.35200 0.51624 38.19180 60.57328 1.23492
11.00000 66.06400 0.85372 77.38400 1.63148 0.51051 51.50900 52.62100 56.03500 58.11000 58.73600 0.87696 2.53500 0.17230 6.92500 0.05124 1.12869 1.03940 0.77956 5.94604 1.40300 0.55615 74.00000 16.00000 10.00000
11.00000 65.96500 0.87534 75.35900 1.64786 0.50052 52.38100 53.05000 54.78400 56.19600 56.27100 0.93087 2.56400 0.27027 7.77600 0.07328 1.21774 1.03204 0.78431 5.87442 1.41100 0.54072 74.00000 15.00000 11.00000
3.00000 65.93900 0.42154 156.42400 0.90120 1.10403 55.49900 59.07300 65.00500 67.58600 68.89300 0.80558 2.67300 0.63851 24.87200 0.51594 1.13041 1.00298 0.87356 5.21900 2.30400 0.52154 48.00000 47.00000 5.00000
8.00000 65.92100 0.54058 121.94500 1.23541 0.78860 40.60100 48.00900 54.76900 56.76600 57.17700 0.71009 2.60600 0.41216 32.00000 0.70050 0.74951 1.02087 0.91699 5.08738 NaN 0.34000 33.00000 64.00000 3.00000
8.00000 65.89400 0.75773 86.96200 1.55189 0.56053 27.60500 28.57600 29.80000 30.34900 30.65000 0.90065 2.51900 0.11824 9.05600 0.10642 1.01189 1.04527 0.79093 5.91337 1.52500 0.10898 73.00000 19.00000 8.00000
8.00000 65.88200 1.11617 59.02500 1.77398 0.42677 34.43400 35.31500 37.04700 37.74200 38.11600 0.90340 2.50600 0.07432 8.03000 0.07985 0.99449 1.04909 0.78615 5.96448 1.40400 0.02231 85.00000 12.00000 3.00000
11.00000 65.88100 0.82863 79.50600 1.61415 0.52119 54.56000 55.85400 60.13600 62.18700 63.03200 0.86559 2.53500 0.17230 7.65500 0.07014 1.10755 1.04082 0.78439 5.92574 1.36600 0.55065 69.00000 23.00000 8.00000
8.00000 65.87800 1.03126 63.88100 1.73762 0.44749 52.48000 52.18900 54.57500 55.73800 56.26000 0.93281 2.58000 0.32432 12.37500 0.19236 1.14107 1.02829 0.80720 5.72001 2.23700 0.18721 86.00000 6.00000 8.00000
